shotDistance,shotAngle,is_rebound,goal
18.3847763109,-67.619864948,0,0
6.32455532034,71.5650511771,0,0
8.94427191,26.5650511771,1,0
45.7930125674,-31.6075022462,0,0
59.6154342432,-22.6937949451,0,0
28.1780056072,-27.4744316263,0,0
18.973665961,18.4349488229,0,0
40.8044115262,17.1027289691,0,0
45.607017004,-15.2551187031,0,0
11.401754251,-37.8749836511,0,0
32.3882694814,-81.1193408495,0,0
39.4461658466,-30.4655449195,0,0
30.4138126515,-9.46232220803,0,0
48.0208288142,-31.3730051401,0,0
29.0688837075,-63.4349488229,0,0
66.4003012041,37.0424747731,0,0
13.6014705087,17.1027289691,0,1
53.5350352573,32.7995312726,0,0
43.8634243989,-43.152389734,0,0
65.192024052,32.4711922908,0,0
10.7703296143,-21.8014094864,0,0
49.2544414241,-5.82634202956,0,0
23.5372045919,77.7352262721,0,0
13.4536240471,-48.0127875042,0,0
48.7647413609,-15.4612177404,0,0
44.0454310911,-39.4724598483,0,0
6.0827625303,-80.537677792,0,0
9.21954445729,12.5288077092,1,1
64.4127316608,-27.7585406011,0,0
38.8973006776,-43.958373324,0,0
28.8617393793,14.0362434679,0,0
31.6227766017,-71.5650511771,0,0
10.8166538264,56.309932474,0,0
14.1421356237,-8.13010235416,0,0
10.0498756211,-5.7105931375,0,0
70.1783442381,-32.7842808659,0,0
13.0384048104,-4.398705355,0,0
19.0,0.0,0,0
53.3666562565,12.9946167919,0,0
13.152946438,8.74616226256,0,0
44.0113621693,1.30195267258,0,0
66.0302960769,-35.1341930569,0,0
16.2788205961,42.510447078,1,0
40.8044115262,53.9726266149,0,0
68.0955211449,29.9536081678,0,0
36.8917334914,-57.1714582086,0,0
21.2602916255,41.1859251657,0,0
25.6124969497,38.6598082541,0,0
9.21954445729,12.5288077092,0,0
24.7588368063,-43.3634229584,0,0
13.6014705087,17.1027289691,0,0
28.319604517,42.1375947739,0,0
65.3681879816,-29.3100070709,0,0
20.0997512422,5.7105931375,0,0
40.0249921924,77.0053832081,0,0
